animation_id,category,scope,phase,duration_seconds,loop,root_motion,source_fps,status,owner,acceptance
idle_combat,Idle,Shared,V1,3,True,in_place,60,Not started,Animator,Retargeted on both test bodies; clean contacts; markers aligned to move data.
idle_guard,Idle,Shared,V1,2,True,in_place,60,Not started,Animator,Retargeted on both test bodies; clean contacts; markers aligned to move data.
breathing_additive,Idle,Shared,V1,4,True,in_place,60,Not started,Animator,Retargeted on both test bodies; clean contacts; markers aligned to move data.
look_at_additive,Idle,Shared,V1,2,True,in_place,60,Not started,Animator,Retargeted on both test bodies; clean contacts; markers aligned to move data.
walk_forward,Locomotion,Shared,V1,1,True,in_place,60,Not started,Animator,Retargeted on both test bodies; clean contacts; markers aligned to move data.
walk_backward,Locomotion,Shared,V1,1,True,in_place,60,Not started,Animator,Retargeted on both test bodies; clean contacts; markers aligned to move data.
turn_neutral,Locomotion,Shared,V1,0.35,False,in_place,60,Not started,Animator,Retargeted on both test bodies; clean contacts; markers aligned to move data.
dash_forward,Locomotion,Shared,V1,0.3,False,in_place,60,Not started,Animator,Retargeted on both test bodies; clean contacts; markers aligned to move data.
dash_back,Locomotion,Shared,V1,0.34,False,in_place,60,Not started,Animator,Retargeted on both test bodies; clean contacts; markers aligned to move data.
crouch_enter,Locomotion,Shared,V1,0.1,False,in_place,60,Not started,Animator,Retargeted on both test bodies; clean contacts; markers aligned to move data.
crouch_hold,Locomotion,Shared,V1,1,True,in_place,60,Not started,Animator,Retargeted on both test bodies; clean contacts; markers aligned to move data.
crouch_exit,Locomotion,Shared,V1,0.15,False,in_place,60,Not started,Animator,Retargeted on both test bodies; clean contacts; markers aligned to move data.
jump_takeoff,Air,Shared,V1,0.1,False,in_place,60,Not started,Animator,Retargeted on both test bodies; clean contacts; markers aligned to move data.
jump_air,Air,Shared,V1,0.54,False,in_place,60,Not started,Animator,Retargeted on both test bodies; clean contacts; markers aligned to move data.
jump_land,Air,Shared,V1,0.14,False,in_place,60,Not started,Animator,Retargeted on both test bodies; clean contacts; markers aligned to move data.
attack_light,Attack,Shared,V1,0.367,False,in_place,60,Not started,Animator,Retargeted on both test bodies; clean contacts; markers aligned to move data.
attack_body,Attack,Shared,V1,0.5,False,in_place,60,Not started,Animator,Retargeted on both test bodies; clean contacts; markers aligned to move data.
attack_heavy,Attack,Shared,V1,0.767,False,in_place,60,Not started,Animator,Retargeted on both test bodies; clean contacts; markers aligned to move data.
attack_low,Attack,Shared,V1,0.667,False,in_place,60,Not started,Animator,Retargeted on both test bodies; clean contacts; markers aligned to move data.
attack_overhead,Attack,Shared,V1,0.883,False,in_place,60,Not started,Animator,Retargeted on both test bodies; clean contacts; markers aligned to move data.
