requirement_id,category,requirement,priority,gate,owner,status,acceptance,evidence_path
EXP-001,Experience,Open and play without installation,Must,G4,Assign,Not started,A new desktop-browser visitor enters an unranked match without an account.,
EXP-002,Experience,Roster and independent loadouts,Must,G3,Assign,Not started,All published avatars use the same mechanics and can select either V1 special.,
EXP-003,Experience,Accessible settings,Must,G4,Assign,Not started,"Keyboard user can change settings, remap keys and exit every modal.",
EXP-004,Experience,Capability fallback,Must,G4,Assign,Not started,No WebGL 2 or no model service produces a usable explanation and alternative.,
EXP-005,Experience,Focus handling,Must,G1,Assign,Not started,Focus loss pauses the simulation and clears held inputs.,
EXP-006,Experience,Honest readiness,Must,G2,Assign,Not started,"Warming, unavailable and at-capacity services cannot display live-ready status.",
COM-001,Combat,Fixed-step authoritative core,Must,G1,Assign,Not started,Identical inputs and seed produce identical state checksums on tested platforms.,
COM-002,Combat,Frame boundaries,Must,G1,Assign,Not started,Move activation and recovery match the registered S/A/R ticks.,
COM-003,Combat,Collision independence,Must,G1,Assign,Not started,"LOD, render rate and outfit changes do not change a hit result.",
COM-004,Combat,Defence levels,Must,G1,Assign,Not started,High/low guard and crouch interactions match every test matrix entry.,
COM-005,Combat,Trades and draws,Must,G1,Assign,Not started,"Simultaneous damage, knockout and timer ties use the documented rules.",
COM-006,Combat,Bounded combos,Must,G1,Assign,Not started,No route exceeds three damaging strikes or bypasses recovery illegally.,
COM-007,Combat,Throw escape,Must,G1,Assign,Not started,Both orientations resolve the 12-tick escape window correctly.,
COM-008,Combat,Resource limits,Must,G1,Assign,Not started,Insufficient stamina or meter always masks the relevant move.,
COM-009,Combat,Equal identity mechanics,Must,G3,Assign,Not started,Swapping avatar ID changes no combat constant or collision envelope.,
COM-010,Combat,Input buffer and priority,Must,G1,Assign,Not started,Held/repeated/competing inputs obey the five-tick buffer and fixed priority.,
AI-001,Laya,Typed action adapter,Must,G2,Assign,Not started,Real SDK output maps to the versioned response contract; missing fields are not invented.,
AI-002,Laya,Delayed observation,Must,G2,Assign,Not started,"Standard snapshots are exactly 12 ticks old, not current values with an old timestamp.",
AI-003,Laya,No hidden player inputs,Must,G2,Assign,Not started,"Requests contain no keyboard queue, future choices, identity or political fields.",
AI-004,Laya,Legal candidate validation,Must,G2,Assign,Not started,"Unknown, unaffordable and no-longer-legal actions cannot execute.",
AI-005,Laya,Bounded scheduling,Must,G2,Assign,Not started,"One in-flight request per fighter; six Hz default, eight Hz hard cap.",
AI-006,Laya,Stale response rejection,Must,G2,Assign,Not started,"Wrong epoch/round/request, expired and duplicate results are discarded.",
AI-007,Laya,Explicit fallback,Must,G2,Assign,Not started,Failures idle or pause; baseline mode is visibly labelled and recorded.,
AI-008,Laya,Pinned model and vocabulary,Must,G2,Assign,Not started,"A release identifies immutable weights, tokenizer, SDK and candidate-generation revisions.",
AI-009,Laya,Domain evaluation,Must,G2,Assign,Not started,Held-out comparisons include no-history and conventional-policy baselines.,
AI-010,Laya,Latency decomposition,Must,G2,Assign,Not started,Server model timing is not represented as end-to-end response time.,
AI-011,Laya,No live weight-learning claim,Must,G5,Assign,Not started,Public copy distinguishes rolling-history adaptation from weight updates.,
AI-012,Laya,Candidate coverage and budgets,Must,G2,Assign,Not started,Tokenizer budget tests pass without truncation; candidate coverage and pruning reasons are logged.,
ART-001,Production assets,Reference provenance,Must,G3,Assign,Not started,Every published likeness has source/usage records and a reviewed neutral feature sheet.,
ART-002,Production assets,Head and face quality,Must,G3,Assign,Not started,"Front, profile, three-quarter, blinks and all 24 morphs pass review.",
ART-003,Production assets,Common rig,Must,G3,Assign,Not started,"Bone/socket names, bind pose, scale and <=90 joint limit validate.",
ART-004,Production assets,Clothing and contact,Must,G3,Assign,Not started,Curated clip matrix passes penetration and 2cm/3cm contact targets.,
ART-005,Production assets,LOD and transfer budget,Must,G3,Assign,Not started,Each selected character meets its tier geometry and <=12MiB standard-transfer target.,
ART-006,Production assets,Shared animation completeness,Must,G3,Assign,Not started,62 shared V1 clips and four presentation clips per selected leader are present.,
ART-007,Production assets,Original summit arena,Must,G3,Assign,Not started,Arena is within bounds/budget and contains no unapproved official branding.,
ART-008,Production assets,Cosmetic-only secondary physics,Must,G3,Assign,Not started,"Cloth, debris, cameras and effects cannot alter collision or damage.",
ART-009,Production assets,Audio provenance and mix,Must,G4,Assign,Not started,Actor and sound licences recorded; no real-leader voice clone; overlap mix does not clip.,
REP-001,Replay and export,Recorded decisions only,Must,G4,Assign,Not started,Replay never invokes model inference and matches recorded applied actions.,
REP-002,Replay and export,Version and checksum fidelity,Must,G4,Assign,Not started,Build/moveset/model/asset versions retained; incompatible replay is rejected clearly.,
REP-003,Replay and export,Local retention and deletion,Must,G4,Assign,Not started,Five-match/100MiB storage bounds enforced; user deletion works.,
REP-004,Replay and export,Capture HUD composition,Must,G4,Assign,Not started,Export contains HUD/disclosure even though the live accessible HUD is DOM-based.,
REP-005,Replay and export,Codec negotiation,Must,G4,Assign,Not started,Unsupported format or recording failure offers a working alternate or replay download.,
REP-006,Replay and export,Portrait safe framing,Must,G4,Assign,Not started,Both fighters and their readable wind-ups remain in frame.,
REP-007,Replay and export,Truthful telemetry,Must,G4,Assign,Not started,"Live, baseline, fallback and recorded states are distinguishable in overlays and exports.",
OPS-001,Performance and operations,Frame-time target,Must,G5,Assign,Not started,Standard test matrix meets median16.7/p95 20/p99 33ms targets after warm-up.,
OPS-002,Performance and operations,Loading budget,Must,G5,Assign,Not started,Selected standard match <=48MiB and <=15s controlled cold-start target.,
OPS-003,Performance and operations,Memory soak,Must,G5,Assign,Not started,20 rematches and repeated selections stay within bounded memory use.,
OPS-004,Performance and operations,Measured admission,Must,G5,Assign,Not started,Concurrency cap comes from independent-match p95 load tests with headroom.,
OPS-005,Performance and operations,Recovery paths,Must,G5,Assign,Not started,"Context loss, resize, disconnect and abort do not strand sessions or fighters.",
OPS-006,Performance and operations,Secure gateway,Must,G5,Assign,Not started,Origin/token/rate/body/schema/time limits pass negative tests.,
OPS-007,Performance and operations,Replay upload sandbox,Must,G5,Assign,Not started,Replays cannot run code or load arbitrary URLs.,
OPS-008,Performance and operations,Explicit unranked trust,Must,G5,Assign,Not started,No client-only score is presented as a verified global competitive result.,
PUB-001,Publication and editorial,Verified roster snapshot,Must,G5,Assign,Not started,"Publication blocks missing official source, verified date or required content reviews.",
PUB-002,Publication and editorial,Original identity and assets,Must,G5,Assign,Not started,Title/asset/likeness/voice/music/font records have a reviewed usage basis.,
PUB-003,Publication and editorial,Fiction disclosure,Must,G5,Assign,Not started,"Visible in landing, play and exported footage; no authentic-news framing.",
PUB-004,Publication and editorial,No political profiling,Must,G5,Assign,Not started,"Gameplay selection is not used to infer ideology, voting or political preference.",
PUB-005,Publication and editorial,No policy/personality claims,Must,G5,Assign,Not started,"Avatar stats, moves and AI policies do not represent real leader competence or beliefs.",
PUB-006,Publication and editorial,Release evidence,Must,G5,Assign,Not started,"Tests, asset manifests, model report and genuine demonstration accompany the release.",
