catalogue_code,display_label,coverage_group,office_holder,office_title,official_source_url,verified_at,asset_status,publication_status,notes
AL,Albania,European production scope,,,,,Not started,Blocked - verification required,Verify the current relevant offices and office-holders before creating a likeness record.
AD,Andorra,European production scope,,,,,Not started,Blocked - verification required,Verify the current relevant offices and office-holders before creating a likeness record. Constitutional office structure requires explicit editorial review; do not assume one president plus one prime minister.
AT,Austria,European production scope,,,,,Not started,Blocked - verification required,Verify the current relevant offices and office-holders before creating a likeness record.
BY,Belarus,European production scope,,,,,Not started,Blocked - verification required,Verify the current relevant offices and office-holders before creating a likeness record.
BE,Belgium,European production scope,,,,,Not started,Blocked - verification required,Verify the current relevant offices and office-holders before creating a likeness record.
BA,Bosnia and Herzegovina,European production scope,,,,,Not started,Blocked - verification required,Verify the current relevant offices and office-holders before creating a likeness record. Constitutional office structure requires explicit editorial review; do not assume one president plus one prime minister.
BG,Bulgaria,European production scope,,,,,Not started,Blocked - verification required,Verify the current relevant offices and office-holders before creating a likeness record.
HR,Croatia,European production scope,,,,,Not started,Blocked - verification required,Verify the current relevant offices and office-holders before creating a likeness record.
CZ,Czechia,European production scope,,,,,Not started,Blocked - verification required,Verify the current relevant offices and office-holders before creating a likeness record.
DK,Denmark,European production scope,,,,,Not started,Blocked - verification required,Verify the current relevant offices and office-holders before creating a likeness record.
EE,Estonia,European production scope,,,,,Not started,Blocked - verification required,Verify the current relevant offices and office-holders before creating a likeness record.
FI,Finland,European production scope,,,,,Not started,Blocked - verification required,Verify the current relevant offices and office-holders before creating a likeness record.
FR,France,European production scope,,,,,Not started,Blocked - verification required,Verify the current relevant offices and office-holders before creating a likeness record.
DE,Germany,European production scope,,,,,Not started,Blocked - verification required,Verify the current relevant offices and office-holders before creating a likeness record.
GR,Greece,European production scope,,,,,Not started,Blocked - verification required,Verify the current relevant offices and office-holders before creating a likeness record.
HU,Hungary,European production scope,,,,,Not started,Blocked - verification required,Verify the current relevant offices and office-holders before creating a likeness record.
