asset_id,asset,scope,phase,quantity_per_unit,owner,status,deliverable,acceptance,source_or_licence
CHAR-REF,Likeness reference pack,Per leader,V1,1,Reference editor,Not started,reference_manifest.json + licensed images,"Front, profiles, 3/4, neutral lighting; date and usage basis for every image.",Original production requirement
CHAR-SCULPT,High-resolution head sculpt,Per leader,V1,1,Character artist,Not started,.blend or sculpt source,Recognisable neutral facial structure; no political/personality inference.,Original production requirement
CHAR-HEAD,Retopologised head and neck,Per leader,V1,1,Character artist,Not started,Source mesh + GLB,"Deformation loops at eyelids, mouth, jaw; neck seam survives every expression.",Original production requirement
CHAR-BODY,Canonical-height body fit,Per leader,V1,1,Technical artist,Not started,Rigged source mesh,Fits canonical collision envelope and shared skeleton; no per-avatar mechanical stats.,Original production requirement
CHAR-SUIT,Primary tailored outfit,Per leader,V1,1,Character artist,Not started,Source garment meshes,"Separate lapels, collar and cuffs; no shoulder collapse at guard pose.",Original production requirement
CHAR-ALT,Mirror-match outfit material,Per leader,V1,1,Character artist,Not started,Material variant,Two fighters distinguishable without relying only on colour.,Original production requirement
CHAR-HAIR,Hair and facial-hair cards,Per leader,V1,1,Groom artist,Not started,Hair-card meshes + atlas,Silhouette preserved; no expensive strand simulation; alpha overdraw tested.,Original production requirement
CHAR-EYES,"Eyes, corneas and lashes",Per leader,V1,1,Character artist,Not started,Eye meshes/materials,No wall-eyed neutral gaze; blink closure complete; highlights not baked into skin.,Original production requirement
CHAR-MOUTH,Teeth and mouth cavity,Per leader,V1,1,Character artist,Not started,Oral meshes/materials,No empty dark mouth at exertion; only visible geometry retained in low LOD.,Original production requirement
CHAR-RIG,Canonical rig binding,Per leader,V1,1,Technical animator,Not started,Rigged source + skeleton hash,At most 90 deform joints; max four skin influences per vertex; required sockets.,Original production requirement
CHAR-FACE,Facial morph set,Per leader,V1,1,Facial animator,Not started,Morph targets + mapping,24 defined runtime facial shapes; neutral base; individual and combined pose review.,Original production requirement
CHAR-SKIN,Skin PBR texture set,Per leader,V1,1,Texture artist,Not started,Base/normal/ORM + optional masks,2K fight; 4K portrait optional; no directional highlights painted into base colour.,Original production requirement
CHAR-CLOTH,Clothing PBR texture set,Per leader,V1,1,Texture artist,Not started,Base/normal/ORM,2K atlas; cloth roughness visibly distinct from skin and shoes.,Original production requirement
CHAR-DETAIL,Hair/eyes/accessory atlases,Per leader,V1,1,Texture artist,Not started,1K/2K atlas sets,Alpha edges clean at scaled capture; material count within budget.,Original production requirement
CHAR-LOD,Mesh level-of-detail set,Per leader,V1,1,Technical artist,Not started,LOD0/1/2/3 GLB,120k / 60k / 30k / 12k triangle caps; transitions preserve face silhouette.,Original production requirement
CHAR-SECONDARY,Tie/lapel secondary rig,Per leader,V1,1,Technical animator,Not started,Bones + parameters,Visual only; deterministic seeded playback or recorded curves; never affects hitboxes.,Original production requirement
CHAR-PORTRAIT,Character-selection portrait,Per leader,V1,1,UI artist,Not started,WebP + source,Neutral lighting and expression; identical framing for all avatars.,Original production requirement
CHAR-CARD,Roster card metadata,Per leader,V1,1,Content editor,Not started,leader_manifest.json,Office source and verification timestamp; explicit blocked status until cleared.,Original production requirement
CHAR-EXPORT,Runtime character bundle,Per leader,V1,1,Technical artist,Not started,Compressed GLB/KTX2,Standard incremental transfer <=12 MiB; <=8 material primitives; asset checksums.,Original production requirement
CHAR-QA,Likeness and deformation review,Per leader,V1,1,QA artist,Not started,Turntable + pose/contact sheet,"Front/profile/3/4, neutral light, all attacks/expressions; defects resolved.",Original production requirement
